BRANCH,GROUP,MONTH,YEAR,CUSTOMER,Type,Item,INVOICE_DATE,Aging,Amount,,
OR291,West,1,2019,Ole Group,AR,PUJ1005,1/8/2019,1-60,128.98,,
MA207,Northeast,1,2019,Eminence Corp,Payment,UHY1004,1/8/2019,Current,-720.38,,
IN186,Midwest,1,2019,Victory Ltd,AR,NMK1003,1/8/2019,Current,87.1,,
TX310,South,1,2019,"Exact-Rx, Corp",AR,PUJ1005,1/8/2019,Current,641.19,,
IN191,Midwest,1,2019,Ei ,AR,NMK1003,1/8/2019,Current,651.51,,
TX319,South,1,2019,Ohio ,AR,PUJ1005,1/8/2019,Current,709.13,,
FL137,South,1,2019,"3LAB, Ltd",Payment,NMK1003,1/8/2019,1-60,-217.08,,
CA57,West,1,2019,Ei ,Payment,XYS1001,1/8/2019,Current,"-1,047.88",,
CA44,West,1,2019,Trigen ,Payment,XYS1001,1/8/2019,Current,-710.54,,
NY263,Northeast,1,2019,Avon Corp,AR,PUJ1005,1/8/2019,Current,482.27,,
CA47,West,1,2019,Ascend Ltd,AR,XYS1001,1/8/2019,Current,528.56,,
CA86,West,1,2019,Mylan Corp,Payment,NBV1002,1/9/2019,Current,"-1,923.30",,
CA33,West,1,2019,"Exact-Rx, Corp",Payment,XYS1001,1/9/2019,Current,"-1,112.94",,
IL159,Midwest,1,2019,Niconovum Corp,AR,NMK1003,1/9/2019,Current,58.29,,
FL133,South,1,2019,OUR Ltd,AR,NMK1003,1/9/2019,Current,"1,019.07",,
NC232,South,1,2019,"Fenwal, Corp",AR,UHY1004,1/9/2019,Current,383.51,,
TX310,South,1,2019,21st Ltd,AR,PUJ1005,1/9/2019,Current,715.16,,
MD211,South,1,2019,Linde ,AR,UHY1004,1/9/2019,1-60,813.11,,
VA356,South,1,2019,"Exact-Rx, Corp",Payment,MKL1006,1/9/2019,Current,-463.1,,
WA359,West,1,2019,Bare ,Payment,MKL1006,1/9/2019,Current,-409.91,,
LA205,South,1,2019,Ascend Ltd,AR,UHY1004,1/10/2019,Current,"1,759.96",,
IL162,Midwest,1,2019,ETUDE Ltd,AR,NMK1003,1/10/2019,1-60,289.44,,
MN221,Midwest,1,2019,Pure Group,Payment,UHY1004,1/10/2019,Current,-686.08,,
NC229,South,1,2019,Medline ,Payment,UHY1004,1/10/2019,Current,"-1,259.60",,
CA83,West,1,2019,WakeFern ,AR,NBV1002,1/10/2019,Current,475.5,,
TX313,South,1,2019,Procter Corp,AR,PUJ1005,1/10/2019,Current,79.33,,
FL138,South,1,2019,Ascend Ltd,Payment,NMK1003,1/10/2019,Current,-860.21,,
KY200,South,1,2019,OUR Ltd,AR,NMK1003,1/10/2019,Current,791.34,,
AL2,South,1,2019,U.S. Ltd,AR,XYS1001,1/10/2019,Current,781.22,,
CA55,West,1,2019,New Ltd,AR,XYS1001,1/10/2019,60+,"1,210.89",,
SD300,Midwest,1,2019,U.S. Ltd,Payment,PUJ1005,1/10/2019,Current,"-1,172.97",,
IL168,Midwest,1,2019,OUR Ltd,AR,NMK1003,1/10/2019,Current,391.15,,
OR290,West,1,2019,Select ,Payment,PUJ1005,1/10/2019,Current,-225.12,,
IL174,Midwest,1,2019,Ole Group,AR,NMK1003,1/10/2019,Current,139.9,,
CA29,West,1,2019,OHTA'S Corp,Payment,XYS1001,1/11/2019,Current,"-1,107.51",,
CA87,West,1,2019,S.S.S. Group,AR,NBV1002,1/11/2019,60+,360.19,,
AZ11,West,1,2019,ETUDE Ltd,Payment,XYS1001,1/11/2019,Current,-225.32,,
CO99,West,1,2019,Prasco Group,Payment,NMK1003,1/11/2019,Current,-912.27,,
FL137,South,1,2019,Select ,Payment,NMK1003,1/11/2019,Current,"-2,351.70",,
KS196,Midwest,1,2019,S.S.S. Group,AR,NMK1003,1/11/2019,Current,431.28,,
TN303,South,1,2019,Nipro ,Payment,PUJ1005,1/11/2019,1-60,-611.04,,
CA24,West,1,2019,Weimei Corp,AR,XYS1001,1/11/2019,Current,497.21,,
NV257,West,1,2019,Amylin Group,AR,UHY1004,1/11/2019,Current,"1,076.36",,
NV251,West,1,2019,"Apotheca, Ltd",Payment,UHY1004,1/11/2019,Current,"-2,905.66",,
CA89,West,1,2019,ETUDE Ltd,AR,NMK1003,1/11/2019,1-60,270.14,,
IL172,Midwest,1,2019,"PEDIFIX, Corp",AR,NMK1003,1/12/2019,Current,"3,345.98",,
OK285,South,1,2019,Uriel Group,Payment,PUJ1005,1/12/2019,1-60,-299.09,,
TX307,South,1,2019,Wuxi Group,AR,PUJ1005,1/12/2019,Current,54.4,,
TX328,South,1,2019,Medline ,Payment,PUJ1005,1/12/2019,60+,-408.03,,
IL166,Midwest,1,2019,AuroMedics Corp,AR,NMK1003,1/12/2019,Current,"1,954.52",,
CO94,West,1,2019,OUR Ltd,AR,NMK1003,1/12/2019,Current,"3,340.29",,
FL127,South,1,2019,Sundial ,AR,NMK1003,1/12/2019,Current,47.77,,
OH283,Midwest,1,2019,Pacific Ltd,AR,PUJ1005,1/12/2019,Current,583.91,,
TX316,South,1,2019,Avon Corp,AR,PUJ1005,1/12/2019,Current,806.14,,
CA64,West,1,2019,Weimei Corp,AR,NBV1002,1/12/2019,Current,"1,460.60",,
IL154,Midwest,1,2019,Victory Ltd,AR,NMK1003,1/13/2019,Current,"3,076.98",,
FL116,South,1,2019,Wuxi Group,AR,NMK1003,1/13/2019,1-60,247.9,,
CA63,West,1,2019,Ole Group,AR,NBV1002,1/13/2019,60+,320.8,,
NE240,Midwest,1,2019,Linde ,Payment,UHY1004,1/13/2019,Current,"-2,984.85",,
AL1,South,1,2019,Procter Corp,Payment,XYS1001,1/13/2019,1-60,-719.98,,
OH278,Midwest,1,2019,OUR Ltd,AR,PUJ1005,1/14/2019,Current,543.3,,
IN190,Midwest,1,2019,Weimei Corp,AR,NMK1003,1/14/2019,Current,31.36,,
TX313,South,1,2019,"Elorac, Corp",AR,PUJ1005,1/14/2019,Current,687.42,,
TX339,South,1,2019,Ascend Ltd,Payment,MKL1006,1/14/2019,1-60,-328.17,,
NM249,West,1,2019,"Fenwal, Corp",AR,UHY1004,1/14/2019,1-60,648.56,,
VA350,South,1,2019,Burt's Corp,AR,MKL1006,1/15/2019,Current,"1,740.26",,
CA67,West,1,2019,Select ,AR,NBV1002,1/15/2019,60+,499.28,,
CO101,West,1,2019,Trigen ,AR,NMK1003,1/15/2019,Current,"1,571.28",,
TX316,South,1,2019,21st Ltd,AR,PUJ1005,1/15/2019,Current,"1,079.37",,
VA355,South,1,2019,Medsep Group,Payment,MKL1006,1/15/2019,Current,-272.96,,
NY273,Northeast,1,2019,Weimei Corp,AR,PUJ1005,1/15/2019,Current,219.43,,
CA23,West,1,2019,OHTA'S Corp,AR,XYS1001,1/15/2019,Current,305.52,,
FL124,South,1,2019,Mylan Corp,AR,NMK1003,1/15/2019,Current,"1,218.73",,
CA88,West,1,2019,Victory Ltd,AR,NMK1003,1/15/2019,Current,247.9,,
AZ13,West,1,2019,Burt's Corp,Payment,XYS1001,1/15/2019,Current,"-3,068.06",,
CA36,West,1,2019,Qualitest ,Payment,XYS1001,1/16/2019,Current,-226.46,,
NY277,Northeast,1,2019,Eminence Corp,AR,PUJ1005,1/16/2019,Current,189.07,,
NM249,West,1,2019,Pure Group,AR,UHY1004,1/16/2019,Current,991.33,,
TX334,South,1,2019,Victory Ltd,AR,MKL1006,1/16/2019,60+,110.55,,
CA48,West,1,2019,Ascend Ltd,AR,XYS1001,1/16/2019,Current,"1,511.52",,
TX336,South,1,2019,OHTA'S Corp,Payment,MKL1006,1/17/2019,1-60,-164.82,,
NJ246,Northeast,1,2019,Ohio ,AR,UHY1004,1/17/2019,Current,567.83,,
OK287,South,1,2019,Procter Corp,AR,PUJ1005,1/17/2019,Current,696,,
CO91,West,1,2019,Qualitest ,AR,NMK1003,1/17/2019,Current,582.9,,
NC231,South,1,2019,Apollo Ltd,AR,UHY1004,1/17/2019,60+,384.11,,
MI217,Midwest,1,2019,Amylin Group,AR,UHY1004,1/17/2019,60+,364.41,,
CA25,West,1,2019,Ohio ,AR,XYS1001,1/17/2019,Current,"2,163.10",,
IN184,Midwest,1,2019,Apollo Ltd,Payment,NMK1003,1/17/2019,Current,-849.02,,
OR290,West,1,2019,Uriel Group,Payment,PUJ1005,1/17/2019,1-60,-527.16,,
MI215,Midwest,1,2019,"Fenwal, Corp",AR,UHY1004,1/17/2019,Current,"1,573.16",,
TX329,South,1,2019,Burt's Corp,AR,PUJ1005,1/17/2019,Current,"1,878.14",,
SD300,Midwest,1,2019,Ascend Ltd,AR,PUJ1005,1/18/2019,60+,234.77,,
NV254,West,1,2019,"Fenwal, Corp",Payment,UHY1004,1/18/2019,Current,-644.88,,
MI213,Midwest,1,2019,New Ltd,AR,UHY1004,1/18/2019,Current,150.21,,
CA23,West,1,2019,Prasco Group,Payment,XYS1001,1/18/2019,Current,-490.04,,
CA44,West,1,2019,Medline ,Payment,XYS1001,1/18/2019,Current,"-1,299.00",,
MS227,South,1,2019,Ei ,AR,UHY1004,1/18/2019,Current,"2,793.83",,
KS198,Midwest,1,2019,Victory Ltd,Payment,NMK1003,1/18/2019,Current,"-1,017.06",,
CA85,West,1,2019,U.S. Ltd,AR,NBV1002,1/19/2019,Current,896.26,,
NY270,Northeast,1,2019,"PEDIFIX, Corp",AR,PUJ1005,1/19/2019,60+,"2,296.63",,
NJ243,Northeast,1,2019,Capweld ,Payment,UHY1004,1/19/2019,1-60,-602.73,,
WA362,West,1,2019,Trigen ,AR,MKL1006,1/19/2019,Current,118.59,,
GA142,South,1,2019,Mylan Corp,Payment,NMK1003,1/19/2019,1-60,-424.11,,
AZ7,West,1,2019,Llorens Ltd,AR,XYS1001,1/19/2019,Current,194.57,,
SC299,South,1,2019,Nipro ,AR,PUJ1005,1/19/2019,1-60,"1,269.25",,
OK285,South,1,2019,OHTA'S Corp,AR,PUJ1005,1/20/2019,Current,584.91,,
KS197,Midwest,1,2019,Ascend Ltd,Payment,NMK1003,1/20/2019,Current,-223.45,,
CO94,West,1,2019,U.S. Ltd,AR,NMK1003,1/20/2019,Current,405.02,,
CO102,West,1,2019,Uriel Group,Payment,NMK1003,1/20/2019,1-60,-175.88,,
CA36,West,1,2019,"Exact-Rx, Corp",Payment,XYS1001,1/20/2019,Current,"-3,469.33",,
NJ246,Northeast,1,2019,Linde ,AR,UHY1004,1/20/2019,Current,56.01,,
PA294,Northeast,1,2019,New Ltd,Payment,PUJ1005,1/20/2019,Current,-95.81,,
CA22,West,1,2019,Victory Ltd,AR,XYS1001,1/20/2019,Current,256.28,,
NY277,Northeast,1,2019,"Elorac, Corp",Payment,PUJ1005,1/20/2019,Current,"-1,047.55",,
VA350,South,1,2019,Weimei Corp,Payment,MKL1006,1/20/2019,Current,"-1,389.98",,
IL170,Midwest,1,2019,New Ltd,Payment,NMK1003,1/20/2019,1-60,-140.7,,
OR291,West,1,2019,"PEDIFIX, Corp",AR,PUJ1005,1/20/2019,Current,930.23,,
NJ242,Northeast,1,2019,Eminence Corp,Payment,UHY1004,1/20/2019,Current,-591.95,,
CA68,West,1,2019,Linde ,AR,NBV1002,1/20/2019,1-60,"1,096.66",,
CA56,West,1,2019,"Elorac, Corp",AR,XYS1001,1/20/2019,1-60,449.44,,
RI296,Northeast,1,2019,OUR Ltd,Payment,PUJ1005,1/20/2019,1-60,"-3,397.57",,
NC230,South,1,2019,Niconovum Corp,Payment,UHY1004,1/20/2019,Current,"-1,425.49",,
IN187,Midwest,1,2019,Sundial ,Payment,NMK1003,1/20/2019,Current,"-1,215.65",,
OH281,Midwest,1,2019,Amylin Group,AR,PUJ1005,1/20/2019,Current,477.98,,
IL173,Midwest,1,2019,Amylin Group,Payment,NMK1003,1/21/2019,Current,-752.34,,
FL134,South,1,2019,Pacific Ltd,AR,NMK1003,1/21/2019,Current,506.52,,
FL128,South,1,2019,Qualitest ,Payment,NMK1003,1/21/2019,Current,"-1,049.22",,
FL123,South,1,2019,Trigen ,Payment,NMK1003,1/21/2019,Current,-549.87,,
OH280,Midwest,1,2019,"Exact-Rx, Corp",AR,PUJ1005,1/21/2019,60+,632.48,,
OH278,Midwest,1,2019,Bare ,Payment,PUJ1005,1/21/2019,Current,-222.98,,
NC230,South,1,2019,Trigen ,Payment,UHY1004,1/22/2019,Current,"-2,369.39",,
IA148,Midwest,1,2019,"Fenwal, Corp",Payment,NMK1003,1/22/2019,Current,-665.31,,
CA36,West,1,2019,AuroMedics Corp,AR,XYS1001,1/22/2019,Current,538.21,,
FL134,South,1,2019,Rochester Ltd,AR,NMK1003,1/22/2019,Current,395.3,,
CA76,West,1,2019,Procter Corp,AR,NBV1002,1/22/2019,60+,436.77,,
NV252,West,1,2019,O.E. Ltd,Payment,UHY1004,1/23/2019,Current,"-1,277.96",,
ID150,West,1,2019,Burt's Corp,AR,NMK1003,1/23/2019,Current,"2,059.58",,
CA75,West,1,2019,21st Ltd,Payment,NBV1002,1/23/2019,Current,-45.56,,
MO225,Midwest,1,2019,Ei ,AR,UHY1004,1/23/2019,Current,122.21,,
UT346,West,1,2019,Medline ,Payment,MKL1006,1/23/2019,1-60,-243.61,,
IL174,Midwest,1,2019,Victory Ltd,Payment,NMK1003,1/23/2019,Current,-592.95,,
OH278,Midwest,1,2019,Niconovum Corp,Payment,PUJ1005,1/23/2019,Current,-362.2,,
VA352,South,1,2019,Rochester Ltd,AR,MKL1006,1/23/2019,Current,53.6,,
CA47,West,1,2019,Apollo Ltd,AR,XYS1001,1/23/2019,1-60,341.97,,
IL180,Midwest,1,2019,Procter Corp,Payment,NMK1003,1/23/2019,1-60,"-2,323.56",,
CA87,West,1,2019,Prasco Group,AR,NBV1002,1/24/2019,Current,678.98,,
CA64,West,1,2019,Prasco Group,AR,NBV1002,1/24/2019,1-60,"1,951.04",,
OK286,South,1,2019,"3LAB, Ltd",Payment,PUJ1005,1/24/2019,60+,-631.14,,
TX335,South,1,2019,Avon Corp,AR,MKL1006,1/24/2019,1-60,91.39,,
CA38,West,1,2019,Linde ,Payment,XYS1001,1/24/2019,1-60,-512.55,,
IL161,Midwest,1,2019,S.S.S. Group,AR,NMK1003,1/25/2019,Current,324.48,,
NH241,Northeast,1,2019,Winthrop ,AR,UHY1004,1/25/2019,Current,"1,099.74",,
IN191,Midwest,1,2019,"PEDIFIX, Corp",AR,NMK1003,1/25/2019,Current,"1,340.07",,
TN303,South,1,2019,Avon Corp,AR,PUJ1005,1/25/2019,Current,"1,931.74",,
TX330,South,1,2019,Prasco Group,Payment,MKL1006,1/25/2019,60+,-458.08,,
NC233,South,1,2019,U.S. Ltd,AR,UHY1004,1/25/2019,Current,438.52,,
NY274,Northeast,1,2019,Ascend Ltd,AR,PUJ1005,1/26/2019,Current,892.24,,
TX333,South,1,2019,Winthrop ,Payment,MKL1006,1/26/2019,Current,"-1,242.85",,
MS227,South,1,2019,Llorens Ltd,Payment,UHY1004,1/26/2019,1-60,-223.51,,
TX310,South,1,2019,Wuxi Group,AR,PUJ1005,1/26/2019,Current,255.81,,
CO98,West,1,2019,Pacific Ltd,Payment,NMK1003,1/26/2019,60+,-592.82,,
CA51,West,1,2019,Llorens Ltd,AR,XYS1001,1/26/2019,60+,193.5,,
OK284,South,1,2019,Trigen ,Payment,PUJ1005,1/27/2019,Current,-790.73,,
CA22,West,1,2019,Medline ,Payment,XYS1001,1/27/2019,Current,-461.3,,
TN301,South,1,2019,Bare ,AR,PUJ1005,1/27/2019,1-60,"1,705.95",,
CA48,West,1,2019,Pure Group,Payment,XYS1001,1/27/2019,Current,-258.89,,
CA43,West,1,2019,OUR Ltd,Payment,XYS1001,1/27/2019,1-60,-244.82,,
FL127,South,1,2019,Weimei Corp,Payment,NMK1003,1/27/2019,Current,"-1,820.12",,
CT103,Northeast,1,2019,OHTA'S Corp,Payment,NMK1003,1/27/2019,Current,"-1,989.90",,
CA21,West,1,2019,Ole Group,Payment,XYS1001,1/27/2019,60+,-68.01,,
NJ246,Northeast,1,2019,Ohio ,AR,UHY1004,1/27/2019,Current,"1,040.18",,
TX344,South,1,2019,Qualitest ,Payment,MKL1006,1/27/2019,Current,"-3,528.49",,
WI365,Midwest,1,2019,AuroMedics Corp,AR,MKL1006,1/27/2019,Current,"3,652.57",,
NV253,West,1,2019,Winthrop ,Payment,UHY1004,1/28/2019,1-60,-886.08,,
NV253,West,1,2019,Sundial ,Payment,UHY1004,1/28/2019,60+,-885,,
GA143,South,1,2019,Wuxi Group,AR,NMK1003,1/28/2019,1-60,"1,581.20",,
FL133,South,1,2019,"Fenwal, Corp",AR,NMK1003,1/28/2019,60+,988.25,,
NE240,Midwest,1,2019,E. Ltd,AR,UHY1004,1/28/2019,Current,773.58,,
TX313,South,1,2019,Ascend Ltd,AR,PUJ1005,1/28/2019,1-60,"1,518.15",,
VA356,South,1,2019,"Fenwal, Corp",AR,MKL1006,1/28/2019,1-60,"2,109.29",,
NE239,Midwest,1,2019,Weimei Corp,AR,UHY1004,1/28/2019,Current,645.34,,
UT348,West,1,2019,Ascend Ltd,Payment,MKL1006,1/28/2019,Current,"-2,253.21",,
NY268,Northeast,1,2019,Burt's Corp,AR,PUJ1005,1/28/2019,Current,429.34,,
CT106,Northeast,1,2019,Medsep Group,AR,NMK1003,1/28/2019,1-60,"1,823.27",,
CA32,West,1,2019,Eminence Corp,Payment,XYS1001,1/28/2019,Current,"-1,413.03",,
NY261,Northeast,1,2019,Bare ,AR,PUJ1005,1/28/2019,Current,66.46,,
IL175,Midwest,1,2019,Trigen ,AR,NMK1003,1/28/2019,Current,221.1,,
CA73,West,1,2019,Prasco Group,AR,NBV1002,1/28/2019,Current,64.45,,
CA65,West,1,2019,Procter Corp,AR,NBV1002,1/28/2019,Current,244.42,,
CA86,West,1,2019,"Exact-Rx, Corp",AR,NBV1002,1/29/2019,Current,"1,363.99",,
OK287,South,1,2019,"Elorac, Corp",Payment,PUJ1005,1/29/2019,Current,"-1,505.09",,
TX341,South,1,2019,Pacific Ltd,AR,MKL1006,1/29/2019,1-60,856.26,,
CT107,Northeast,1,2019,Apollo Ltd,AR,NMK1003,1/29/2019,60+,623.1,,
CA80,West,1,2019,"PEDIFIX, Corp",AR,NBV1002,1/29/2019,60+,"2,280.88",,
CA31,West,1,2019,S.S.S. Group,Payment,XYS1001,1/29/2019,Current,-459.49,,
IL178,Midwest,1,2019,Bare ,AR,NMK1003,1/29/2019,60+,944.7,,
IL178,Midwest,1,2019,"Elorac, Corp",Payment,NMK1003,1/29/2019,1-60,-106.13,,
FL115,South,1,2019,ETUDE Ltd,Payment,NMK1003,1/29/2019,1-60,-492.45,,
AZ7,West,1,2019,Ohio ,Payment,XYS1001,1/29/2019,Current,-615.33,,
CO101,West,1,2019,OUR Ltd,AR,NMK1003,1/30/2019,60+,353.89,,
MI214,Midwest,1,2019,Weimei Corp,Payment,UHY1004,1/30/2019,Current,"-1,184.69",,
TX316,South,1,2019,Dharma Ltd,AR,PUJ1005,1/30/2019,1-60,276.98,,
CA42,West,1,2019,New Ltd,AR,XYS1001,1/30/2019,1-60,201.13,,
AZ7,West,1,2019,Qualitest ,Payment,XYS1001,1/30/2019,Current,-939.68,,
IN183,Midwest,1,2019,Ohio ,AR,NMK1003,1/31/2019,Current,"1,221.54",,
TX338,South,1,2019,"Fenwal, Corp",AR,MKL1006,1/31/2019,1-60,"1,865.28",,
OH279,Midwest,1,2019,Mylan Corp,Payment,PUJ1005,1/31/2019,Current,-785.11,,
TX320,South,1,2019,S.S.S. Group,AR,PUJ1005,1/31/2019,Current,246.56,,
TN304,South,1,2019,Weimei Corp,Payment,PUJ1005,1/31/2019,Current,-461.97,,
KS195,Midwest,1,2019,Victory Ltd,Payment,NMK1003,1/31/2019,Current,"-2,069.50",,
GA145,South,1,2019,Linde ,AR,NMK1003,1/31/2019,Current,583.7,,
TN302,South,2,2019,ETUDE Ltd,AR,PUJ1005,2/1/2019,1-60,566.02,,
NJ242,Northeast,2,2019,Capweld ,Payment,UHY1004,2/1/2019,Current,"-1,821.66",,
CA84,West,2,2019,ETUDE Ltd,Payment,NBV1002,2/1/2019,Current,"-1,271.33",,
VA355,South,2,2019,"PEDIFIX, Corp",Payment,MKL1006,2/1/2019,Current,-437.78,,
FL124,South,2,2019,E. Ltd,Payment,NMK1003,2/1/2019,60+,-290.91,,
NJ243,Northeast,2,2019,Select ,AR,UHY1004,2/2/2019,Current,382.24,,
TN301,South,2,2019,"Apotheca, Ltd",AR,PUJ1005,2/2/2019,Current,"1,250.76",,
NC235,South,2,2019,ETUDE Ltd,Payment,UHY1004,2/2/2019,Current,-591.95,,
CO90,West,2,2019,Ohio ,Payment,NMK1003,2/2/2019,1-60,-484.95,,
IL154,Midwest,2,2019,"Apotheca, Ltd",Payment,NMK1003,2/2/2019,Current,"-1,089.02",,
GA139,South,2,2019,Uriel Group,AR,NMK1003,2/3/2019,Current,995.55,,
NY272,Northeast,2,2019,Ei ,AR,PUJ1005,2/3/2019,Current,973.24,,
TX321,South,2,2019,Select ,AR,PUJ1005,2/3/2019,Current,390.74,,
WA363,West,2,2019,Amylin Group,Payment,MKL1006,2/3/2019,Current,"-1,009.02",,
IN193,Midwest,2,2019,OHTA'S Corp,AR,NMK1003,2/3/2019,60+,"3,421.02",,
VA353,South,2,2019,"PEDIFIX, Corp",Payment,MKL1006,2/3/2019,Current,-48.78,,
IL168,Midwest,2,2019,Apollo Ltd,AR,NMK1003,2/3/2019,1-60,394.16,,
NY276,Northeast,2,2019,U.S. Ltd,Payment,PUJ1005,2/3/2019,Current,-176.88,,
UT348,West,2,2019,Select ,AR,MKL1006,2/3/2019,Current,58.63,,
SD300,Midwest,2,2019,Burt's Corp,Payment,PUJ1005,2/4/2019,Current,-750.4,,
OH279,Midwest,2,2019,Weimei Corp,Payment,PUJ1005,2/4/2019,Current,-126.63,,
IL174,Midwest,2,2019,Qualitest ,Payment,NMK1003,2/4/2019,60+,"-1,023.49",,
CA56,West,2,2019,Nipro ,AR,XYS1001,2/4/2019,Current,"1,598.75",,
FL130,South,2,2019,"Fenwal, Corp",Payment,NMK1003,2/4/2019,Current,-188.4,,
WA357,West,2,2019,Ole Group,Payment,MKL1006,2/4/2019,60+,"-1,345.83",,
NC236,South,2,2019,OUR Ltd,AR,UHY1004,2/4/2019,Current,347.13,,
IL178,Midwest,2,2019,Burt's Corp,AR,NMK1003,2/5/2019,Current,410.04,,
CA30,West,2,2019,WakeFern ,Payment,XYS1001,2/5/2019,Current,-586.92,,
TX312,South,2,2019,"Fenwal, Corp",AR,PUJ1005,2/5/2019,Current,289.51,,
CA17,West,2,2019,WakeFern ,AR,XYS1001,2/5/2019,1-60,598.44,,
IA147,Midwest,2,2019,21st Ltd,AR,NMK1003,2/5/2019,Current,"1,294.24",,
CA76,West,2,2019,O.E. Ltd,Payment,NBV1002,2/5/2019,Current,-91.46,,
CA42,West,2,2019,Amylin Group,Payment,XYS1001,2/5/2019,Current,-430.27,,
MN219,Midwest,2,2019,AuroMedics Corp,AR,UHY1004,2/5/2019,Current,528.23,,
WA359,West,2,2019,Mylan Corp,AR,MKL1006,2/5/2019,1-60,681.12,,
CA21,West,2,2019,Trigen ,Payment,XYS1001,2/5/2019,Current,-550.14,,
CA29,West,2,2019,"3LAB, Ltd",Payment,XYS1001,2/5/2019,Current,"-1,024.30",,
IA149,Midwest,2,2019,Llorens Ltd,AR,NMK1003,2/6/2019,60+,529.64,,
NM249,West,2,2019,Uriel Group,Payment,UHY1004,2/6/2019,Current,"-2,052.08",,
PA295,Northeast,2,2019,Burt's Corp,Payment,PUJ1005,2/6/2019,1-60,"-2,702.85",,
LA202,South,2,2019,AuroMedics Corp,AR,NMK1003,2/6/2019,Current,922.39,,
CA47,West,2,2019,"PEDIFIX, Corp",AR,XYS1001,2/6/2019,Current,147.4,,
FL136,South,2,2019,Capweld ,Payment,NMK1003,2/6/2019,Current,-353.09,,
IA148,Midwest,2,2019,Qualitest ,AR,NMK1003,2/6/2019,Current,387.26,,
VA352,South,2,2019,Ole Group,Payment,MKL1006,2/6/2019,1-60,-99.16,,
IN190,Midwest,2,2019,Linde ,Payment,NMK1003,2/6/2019,Current,"-2,120.15",,
MI218,Midwest,2,2019,Medsep Group,Payment,UHY1004,2/6/2019,Current,-225.12,,
SC297,South,2,2019,Winthrop ,AR,PUJ1005,2/7/2019,Current,"1,301.48",,
OH281,Midwest,2,2019,Sundial ,AR,PUJ1005,2/7/2019,Current,"1,137.26",,
CO100,West,2,2019,Ohio ,Payment,NMK1003,2/7/2019,1-60,"-2,520.54",,
CA24,West,2,2019,Victory Ltd,Payment,XYS1001,2/7/2019,1-60,"-2,098.64",,
IL155,Midwest,2,2019,Avon Corp,Payment,NMK1003,2/7/2019,Current,"-1,081.38",,
CA30,West,2,2019,Victory Ltd,AR,XYS1001,2/7/2019,Current,822.36,,
CA40,West,2,2019,AuroMedics Corp,AR,XYS1001,2/7/2019,Current,233.96,,
IL169,Midwest,2,2019,ETUDE Ltd,AR,NMK1003,2/7/2019,1-60,436.37,,
OR290,West,2,2019,"Apotheca, Ltd",AR,PUJ1005,2/7/2019,Current,"2,359.74",,
MD212,South,2,2019,WakeFern ,AR,UHY1004,2/7/2019,Current,126.03,,
CA30,West,2,2019,Burt's Corp,AR,XYS1001,2/7/2019,1-60,93.8,,
IL152,Midwest,2,2019,OUR Ltd,AR,NMK1003,2/8/2019,Current,920.25,,
MA206,Northeast,2,2019,Amylin Group,Payment,UHY1004,2/8/2019,Current,-632.35,,
MO225,Midwest,2,2019,New Ltd,AR,UHY1004,2/8/2019,Current,"2,960.06",,
CA63,West,2,2019,"Elorac, Corp",AR,NBV1002,2/8/2019,Current,794.96,,
OR292,West,2,2019,Prasco Group,AR,PUJ1005,2/8/2019,60+,"1,193.94",,
NV255,West,2,2019,O.E. Ltd,AR,UHY1004,2/8/2019,Current,74.77,,
NC231,South,2,2019,Winthrop ,AR,UHY1004,2/8/2019,Current,659.28,,
CA43,West,2,2019,OUR Ltd,AR,XYS1001,2/8/2019,Current,862.69,,
CA81,West,2,2019,Eminence Corp,AR,NBV1002,2/8/2019,60+,528.23,,
TX332,South,2,2019,Medline ,Payment,MKL1006,2/9/2019,Current,-411.45,,
PA293,Northeast,2,2019,Ole Group,AR,PUJ1005,2/9/2019,60+,492.05,,
IL173,Midwest,2,2019,Nipro ,AR,NMK1003,2/9/2019,Current,835.42,,
SD300,Midwest,2,2019,Winthrop ,AR,PUJ1005,2/9/2019,60+,359.46,,
FL135,South,2,2019,Burt's Corp,AR,NMK1003,2/9/2019,Current,"1,222.68",,
TX330,South,2,2019,Prasco Group,AR,MKL1006,2/9/2019,60+,130.25,,
VA352,South,2,2019,Uriel Group,Payment,MKL1006,2/9/2019,Current,"-1,423.08",,
CO90,West,2,2019,S.S.S. Group,AR,NMK1003,2/10/2019,Current,506.52,,
NM248,West,2,2019,Victory Ltd,Payment,UHY1004,2/10/2019,1-60,-895.25,,
IL171,Midwest,2,2019,Rochester Ltd,Payment,NMK1003,2/10/2019,Current,-289.31,,
AZ12,West,2,2019,Pure Group,Payment,XYS1001,2/10/2019,Current,-88.78,,
VA349,South,2,2019,E. Ltd,Payment,MKL1006,2/10/2019,1-60,"-1,141.68",,
AZ14,West,2,2019,Wuxi Group,Payment,XYS1001,2/10/2019,Current,-345.18,,
CA67,West,2,2019,Pure Group,Payment,NBV1002,2/10/2019,Current,-564.01,,
NY259,Northeast,2,2019,Prasco Group,Payment,UHY1004,2/10/2019,60+,-403.81,,
NV255,West,2,2019,Rochester Ltd,AR,UHY1004,2/10/2019,Current,"2,365.23",,
NY271,Northeast,2,2019,21st Ltd,Payment,PUJ1005,2/11/2019,Current,-881.72,,
